"","time","trap.id","nmales","ntrees"
"739",188,99,11755,449
"740",202,25,23808,464
"741",103,59,318,18
"742",100,92,469,269
"743",92,58,289,18
"744",90,62,409,257
"745",107,91,1816,399
"746",197,13,26734,534
"747",65,78,16,9
"748",66,88,13,9
"749",126,97,1445,45
"750",174,55,10617,362
"751",102,29,335,49
"752",205,23,22949,403
"753",226,22,30346,561
"754",100,2,297,16
"755",273,13,33273,671
"756",135,16,1480,33
"757",86,41,406,242
"758",91,36,387,243
"759",84,99,290,44
"760",147,16,1979,46
"761",79,21,304,187
"762",203,22,28080,483
"763",130,31,1813,37
"764",99,20,299,18
"765",142,84,6312,201
"766",91,35,442,253
"767",78,97,205,17
"768",218,16,32228,619
"769",117,84,463,23
"770",87,50,291,16
"771",117,16,683,69
"772",192,10,19683,495
"773",112,29,389,51
"774",112,16,665,21
"775",152,9,9998,229
"776",183,28,11481,337
"777",84,21,400,239
"778",105,71,423,16
"779",125,97,1009,36
"780",92,65,289,17
"781",172,61,8357,234
"782",77,68,187,14
"783",109,16,554,24
"784",200,55,16967,315
"785",202,68,15044,329
"786",68,58,41,9
"787",100,84,296,16
"788",158,10,5151,162
"789",116,57,1003,110
"790",89,68,263,19
"791",94,5,296,15
"792",171,55,6664,337
"793",100,2,351,25
"794",135,54,2591,150
"795",97,58,254,18
"796",95,12,287,56
"797",119,54,1276,106
"798",101,67,308,24
"799",109,65,429,20
"800",83,80,314,223
"801",113,54,835,87
"802",90,96,376,253
"803",71,16,90,13
"804",119,58,1301,36
"805",123,50,1013,35
"806",231,23,28877,663
"807",226,82,42235,735
"808",84,97,290,19
"809",83,100,326,232
"810",179,2,9998,273
"811",95,69,305,12
"812",163,25,3536,220
"813",289,72,45208,902
"814",100,6,524,288
"815",80,91,259,34
"816",176,13,11617,409
"817",82,91,262,38
"818",124,47,2683,165
"819",166,58,11344,249
"820",265,13,40866,742
"821",126,56,1601,120
"822",105,96,1207,338
"823",217,27,28485,538
"824",134,53,1055,23
"825",123,68,1281,37
"826",101,13,415,70
"827",187,16,14618,440
"828",117,16,790,21
"829",167,96,10051,259
"830",98,92,270,30
"831",166,97,3406,136
"832",105,58,323,14
"833",306,25,56570,1004
"834",81,53,242,18
"835",111,57,596,81
"836",207,55,25353,412
"837",152,13,5999,187
"838",213,13,28456,474
"839",82,52,318,223
"840",156,10,12228,243
"841",124,54,1418,97
"842",111,28,492,48
"843",91,58,274,15
"844",104,65,294,23
"845",71,16,76,9
"846",190,48,18160,491
"847",72,16,106,10
"848",155,48,9175,197
"849",119,2,1096,39
"850",81,91,245,33
"851",109,16,569,20
"852",210,99,17246,437
"853",212,55,24236,464
"854",101,61,665,297
"855",79,98,228,170
"856",212,48,24360,457
"857",102,56,773,328
"858",165,91,12069,256
"859",151,55,3710,198
"860",178,28,11186,256
"861",89,68,297,17
"862",89,29,282,39
