time			temp
6:0:20			14.6
6:0:30			14.2
6:0:40			12.9
6:0:50			14.3
6:1:0			13.9
6:1:10			12.8
6:1:20			12.4
6:1:30			12.1
6:1:40			11.8
6:1:50			12.1
6:2:0			11.9
6:2:10			11.7
6:2:20			11.5
6:2:30			11.3
6:2:40			11.5
6:2:50			11.3
6:3:0			11.2
6:3:10			9.6
6:3:20			10.1
6:3:30			11.2
6:3:40			10.7
6:3:50			10.9
6:4:0			10.4
6:4:10			9.4
6:4:20			9.6
6:4:30			10
6:4:40			10.3
6:4:50			10.4
6:5:0			9.4
6:5:10			10.9
6:5:20			9.6
6:5:30			10.9
6:5:40			10.1
6:5:50			11.6
6:6:0			10.6
6:6:10			9.9
6:6:20			11.5
6:6:30			11
6:6:40			10.5
6:6:50			11.9
6:7:0			12
6:7:10			12.2
6:7:20			12.2
6:7:30			11.8
6:7:40			13.8
6:7:50			13.3
6:8:0			14.7
6:8:10			13.7
6:8:20			14
6:8:30			14.9
6:8:40			14.1
6:8:50			15.2
6:9:0			16.3
6:9:10			16.5
6:9:20			16.6
6:9:30			17.4
6:9:40			17.8
6:9:50			17.1
6:10:0			16.6
6:10:10			17.5
6:10:20			18.6
6:10:30			19
6:10:40			19.4
6:10:50			18.7
6:11:0			20.3
6:11:10			20.3
6:11:20			19.4
6:11:30			20.7
6:11:40			20.9
6:11:50			21.1
6:12:0			21.3
6:12:10			22.3
6:12:20			22.6
6:12:30			21.9
6:12:40			22.1
6:12:50			22.8
6:13:0			23.3
6:13:10			23.4
6:13:20			23.8
6:13:30			24.2
6:13:40			23.8
6:13:50			24.8
6:14:0			24.1
6:14:10			23.9
6:14:20			24.9
6:14:30			24.7
6:14:40			25.9
6:14:50			26.1
6:15:0			25.7
6:15:10			25.8
6:15:20			25.8
6:15:30			26.2
6:15:40			26.3
6:15:50			27.3
6:16:0			27.3
6:16:10			27.3
6:16:20			27.2
6:16:30			27
6:16:40			26.5
6:16:50			27.4
6:17:0			27
6:17:10			25.8
6:17:20			26.1
6:17:30			25
6:17:40			25.8
6:17:50			25.7
6:18:0			25.9
6:18:10			24.6
6:18:20			24.8
6:18:30			24.7
6:18:40			24.7
6:18:50			25.3
6:19:0			25
6:19:10			24.3
6:19:20			23.5
6:19:30			23.9
6:19:40			23.3
6:19:50			22.7
6:20:0			22.1
6:20:10			22.2
6:20:20			22.4
6:20:30			21.1
6:20:40			21.7
6:20:50			20.8
6:21:0			19.9
6:21:10			19.9
6:21:20			20.3
6:21:30			20
6:21:40			19.8
6:21:50			19.3
6:22:0			17.4
6:22:10			17.4
6:22:20			17.4
6:22:30			18.3
6:22:40			17.8
6:22:50			16.4
6:23:0			16.8
6:23:10			16.5
6:23:20			15.7
6:23:30			15.3
6:23:40			15
6:23:50			14.2
7:0:0			14
7:0:10			13
7:0:20			13
7:0:30			13.6
7:0:40			13.3
7:0:50			12.4
7:1:0			12.9
7:1:10			12.4
7:1:20			13.5
7:1:30			12.3
7:1:40			11.6
7:1:50			11.4
7:2:0			10.2
7:2:10			10.7
7:2:20			11.3
7:2:30			10.8
7:2:40			11.5
7:2:50			10.7
7:3:0			9.5
7:3:10			10.7
7:3:20			10.8
7:3:30			11.1
7:3:40			11.1
7:3:50			9.5
7:4:0			10
7:4:10			9.6
7:4:20			9.9
7:4:30			10.1
7:4:40			10.9
7:4:50			10.4
7:5:0			11.3
7:5:10			10.8
7:5:20			10.7
7:5:30			10.7
7:5:40			9.6
7:5:50			9.9
7:6:0			11.3
7:6:10			11.4
7:6:20			11.9
7:6:30			12.5
7:6:40			11.4
7:6:50			11.7
7:7:0			12.6
7:7:10			13.6
7:7:20			13.5
7:7:30			13.6
7:7:40			13.4
7:7:50			14.1
7:8:0			13.7
7:8:10			14.1
7:8:20			14.5
7:8:30			13.9
7:8:40			14.3
7:8:50			15.2
7:9:0			14.7
7:9:10			15.6
7:9:20			15.9
7:9:30			15.3
7:9:40			16
7:9:50			16.6
7:10:0			16.3
7:10:10			18.1
7:10:20			17.6
7:10:30			18.2
7:10:40			18.4
7:10:50			18.6
7:11:0			18.2
7:11:10			19.6
7:11:20			19.2
7:11:30			19.8
7:11:40			18.2
7:11:50			19.7
7:12:0			19.8
7:12:10			20.7
7:12:20			20.7
7:12:30			20.2
7:12:40			20.9
7:12:50			20.5
7:13:0			21.3
7:13:10			21.3
7:13:20			21.6
7:13:30			21.8
7:13:40			21.6
7:13:50			23
7:14:0			22.5
7:14:10			22.8
7:14:20			24.3
7:14:30			24.8
7:14:40			24.5
7:14:50			24.2
7:15:0			25.6
7:15:10			23.7
7:15:20			24.7
7:15:30			24.6
7:15:40			24.1
7:15:50			25.2
7:16:0			23.5
7:16:10			24.1
7:16:20			23.8
7:16:30			24.1
7:16:40			24
7:16:50			25
7:17:0			23.8
7:17:10			25.8
7:17:20			25.3
7:17:30			23.7
7:17:40			22.9
7:17:50			23.3
7:18:0			23.4
7:18:10			23
7:18:20			24.1
7:18:30			23.3
7:18:40			22.5
7:18:50			22.2
7:19:0			22.6
7:19:10			21.8
7:19:20			21.6
7:19:30			21
7:19:40			21.8
7:19:50			21
7:20:0			20.4
7:20:10			21.1
7:20:20			21.2
7:20:30			20.5
7:20:40			20.4
7:20:50			18.2
7:21:0			19.6
7:21:10			18.5
7:21:20			17.9
7:21:30			16.9
7:21:40			19.1
7:21:50			17.3
7:22:0			16.6
7:22:10			17.5
7:22:20			16.8
7:22:30			16.8
7:22:40			16.4
7:22:50			16.2
